incidentType,incidentSubType,reportDescription,name,phoneNumber,dateAndTime,landmark,address
Other,Noise complaint,"Reklamo po sa sobrang ingay ng videoke ng kapitbahay namin sa House #24, Purok 5, Brgy. Sambat Ilaya. Araw-araw na lang po hanggang madaling araw, hindi kami makapagpahinga! Paki-Saway naman po!",Virginia Salazar,9244455667,2025/03/17 16:40:40,University of Batangas Library,"Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Other,Noise complaint,"Ang ingay po ng construction dito sa tapat ng Golden Country Homes gate! Ang Aga mag-umpisa, ang lakas ng martilyo. Pwede po bang paki-check yung working hours nila?",Rodolfo Valencia,9089988776,2026/12/12 19:50:50,Laurel Park Bench,"Aguinaldo Highway, Brgy. Poblacion, Batangas City, Batangas"
Other,Suspicious activity,"Reporting two individuals suspiciously casing houses on Laurel Street. They are walking back and forth slowly, looking over fences. Happened around 10:00 PM. Requesting patrol car check.",Zenaida Jimenez,9485566778,2025/02/02 7:20:20,Bay City Mall Food Court,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Suspicious activity,"May mga lalaki pong nakatambay sa tapat ng BPI Pallocan branch dito, parang may inaabangan. Kahina-hinala po ang kilos nila. Baka po may masamang balak. Paki-check po.",Alberto David,9141122334,2024/06/30 11:05:05,Most Holy Trinity Parish Office,"Mabini Boulevard, Brgy. Pallocan West, Batangas City, Batangas"
Other,Suspicious activity,"May van na paikot-ikot dito sa Alangilan subdivision namin, tinted windows. Parang suspicious yung dating. Paki-record po yung plate number kung kaya.",Alicia Manalo,9277654321,2026/01/20 14:44:44,St. Bridget College Gym,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Scam,"Received a call from someone claiming to be from the NBI, saying I have a case and need to pay a fine via gcash to avoid arrest. Sounds like a total scam. Reporting the number 0917-1234567.",Francisco Ignacio,9053344556,2025/09/10 9:15:15,SM Cinema Batangas,"Bonifacio Street, Brgy. Pallocan West, Batangas City, Batangas"
Other,Scam,"May nag-text po na nanalo daw ako sa raffle ng SM Supermalls, pero kailangan ko ibigay yung OTP ko para ma-claim. Mukhang scam po ito! Hindi Ko po binigay.",Beatriz Pineda,9349876543,2024/08/22 17:30:30,Provincial Library,"Capitol Site, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Other,Scam,"May nag-message sa akin sa FB, nagpapanggap na kamag-anak from abroad. Nanghihiram ng pera pang-emergency daw. Feeling ko scam po ito.",Vicente Robles,9158877665,2026/06/18 12:20:20,BSU Engineering Bldg,"Del Pilar Road, Brgy. Alangilan, Batangas City, Batangas"
Other,Other,"A large mango tree branch fell onto the road at Calicanto crossing, partially blocking traffic. Needs clearing. Road obstruction.",Carmelita Abad,9204455667,2025/11/15 15:00:00,Batangas Port Passenger Terminal,"Quezon Avenue, Brgy. Sta. Clara, Batangas City, Batangas"
Other,Other,"May malaking bato po na gumulong galing sa itaas at nakaharang ngayon sa daan papuntang Sitio Tibig, Brgy. Ilijan. Delikado po sa mga dumadaan. Road obstruction.",Rolando Aguilar,9079988776,2024/07/14 20:40:40,UB Admin Building,"Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Other,Other,Grabe yung baha dito sa underpass sa STAR Tollway exit after the rain! Hindi Na madaanan ng maliliit na sasakyan. Traffic na. Road issue/obstruction.,Estelita De Leon,9435566778,2026/10/05 8:50:50,Plaza Mabini Monument,"Laurel Avenue, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Fire,"FIRE EMERGENCY! Large Fire engulfing a commercial building near Batangas City Coliseum! Flames Visible from afar, spreading to adjacent structures! Need Multiple fire trucks NOW!",Angelito Evangelista,9161122334,2025/04/21 10:25:25,Nuciti Supermarket,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Fire,"Sunog po! Nasusunog Po ang isang bodega dito sa Diversion Road! Malaki Na po ang apoy at makapal ang usok! Delikado Po, may mga bahay na malapit! Pakirespondehan Po agad ng bumbero!",Norma Francisco,9217654321,2024/09/30 13:35:35,Calumpang Bridge View Deck,"Poblacion Side, Calumpang Bridge Area, Batangas City, Batangas"
Man-made Incident,Fire,May sunog daw po sa Old Public Market! Kitang-Kita yung usok dito sa amin! Parang Malaki! Need Firetrucks po ASAP!,Edgardo Gomez,9093344556,2026/03/29 16:10:10,SM Dept Store Batangas,"Rizal Street, Brgy. Pallocan West, Batangas City, Batangas"
Man-made Incident,Explosion,"EXPLOSION reported near the Batangas Port area! Heard A massive bang, followed by thick black smoke and tremors. Cause unknown. Requesting emergency services response!",Belen Hernandez,9329876543,2025/08/01 19:00:00,Batangas Basilica Convent,"Luna Road, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Explosion,May malakas na pagsabog po kaming narinig galing sa direksyon ng JG Summit Petrochemical plant! Nayanig Po ang mga bahay namin! May Makapal na itim na usok! Hindi Po namin alam kung ano ang sumabog!,Reynaldo Javier,9178877665,2024/11/27 11:11:11,Provincial Capitol flagpole,"Magsaysay Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Man-made Incident,Explosion,Ang lakas ng explosion kanina! Dito Sa may Brgy. Bolbok! Nayanig kami! Tapos may umusok ng malaki! Nakakatakot! ,Fe Lim,9224455667,2026/07/07 14:55:55,BSU Grandstand,"Aguinaldo Highway, Brgy. Alangilan, Batangas City, Batangas"
Man-made Incident,Chemical or oil spill,"Urgent: Strong, noxious chemical odor emanating from the area near the Shell refinery in Tabangao. Causing eye irritation and difficulty breathing among residents. Suspected chemical leak/spill. Hazmat team needed.",Roberto Macaraig,9069988776,2025/12/31 23:59:59,Batangas Port Admin Bldg,"Mabini Boulevard, Brgy. Sta. Clara, Batangas City, Batangas"
Man-made Incident,Chemical or oil spill,May matapang po kaming naamoy na kemikal dito malapit sa First Gas Power Plant. Masakit po sa ilong at lalamunan. Parang may tumagas po galing sa planta. Chemical spill po yata!,Susan Medina,9475566778,2024/06/01 6:30:30,University of Batangas Gate,"Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Man-made Incident,Chemical or oil spill,"May nakita kaming oil spill sa dagat malapit sa Batangas International Port. Kumakalat na po. Paki-check po, mukhang galing sa barko. Chemical/oil spill.",Juanito Ortega,9191122334,2026/09/15 9:40:40,Laurel Park Playground,"Bonifacio Street, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Terrorism,URGENT - BOMB THREAT! Suspicious Unattended backpack left in a crowded area at Plaza Mabini. Requesting immediate police and bomb squad deployment! Secure the perimeter now! ,Teresita Pascual,9287654321,2025/01/01 0:00:01,Bay City Mall Entrance 1,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Terrorism,BOMBA! May Kahina-hinalang bag na iniwan sa tapat ng Batangas Capitol Building! Bigla Na lang pong umalis yung nag-iwan! Baka Po bomba ito! Pakirespondehan Po agad ng pulis at bomb squad! Delikado Po!,Carlito Quizon,9073344556,2024/10/26 15:20:20,Golden Gate Colleges,"P. Prieto Street, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Terrorism,May threat daw po sa Batangas State University Main Campus! May Suspicious person daw na armado. Nagpa-panic na po mga tao! Need police assistance urgently! ,Miguel Tolentino,9129876543,2026/02/18 17:05:30,Near Diversion Road,"Diversion Road, Brgy. Pallocan West, Batangas City, Batangas"
Accident,Vehicular accident,A car crashed into a motorcycle. There are injuries.,Julius Andrada,9105556666,2025/04/08 2:40:00,Near Batangas Capitol,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Accident,Vehicular accident,May dalawang sasakyan na nagbanggaan sa intersection.,Katrina Baltazar,9987778888,2025/04/08 3:55:35,Tapat Ng St. Bridget College,"Del Pilar Road, Brgy. Calicanto, Batangas City, Batangas"
Accident,Vehicular accident,May banggaan po ng jeepney at bus.,Lorenzo Castillo,9229990000,2025/04/08 5:11:10,Malapit Sa Batangas Medical Center,"Quezon Avenue, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Accident,Household accident,Someone fell down the stairs.,Maria Esperanza,9331112222,2025/04/08 6:26:45,In Front of Lyceum of the Philippines University - Batangas,"Zamora Street, Brgy. Pila-Kanluran, Batangas City, Batangas"
Accident,Household accident,Nahulog po siya sa banyo.,Nelson Francisco,9453334444,2025/04/08 7:42:20,Beside the Batangas City Hall,"Silang Drive, Brgy. Poblacion, Batangas City, Batangas"
Accident,Household accident,Nagkaroon ng fire sa kitchen.,Olivia Garcia,9565556666,2025/04/08 8:57:55,Banda Robinson's Place Batangas,"Malvar Road, Brgy. 7, Batangas City, Batangas"
Accident,Workplace accident,A worker got injured.,Paolo Hernandez,9677778888,2025/04/08 10:13:30,Near the Public Market,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Accident,Workplace accident,May nasugatan sa construction site.,Rachel Ignacio,9799990000,2025/04/08 11:29:05,Likod Ng San Sebastian Cathedral,"P. Zamora Street, Brgy. Poblacion, Batangas City, Batangas"
Accident,Workplace accident,Naaksidente po yung worker while nag-ooperate ng machinery.,Samuel Javier,9811112222,2025/04/08 12:44:40,Going to Sm City Batangas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Conflict,Family or neighbor disputes,There is a loud argument happening next door.,Andres Magno,9181112222,2025/04/09 2:30:15,Near Plaza Mabini,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Family or neighbor disputes,"May nag-aaway na magkapitbahay, malakas ang sigawan.",Cecilia Reyes,9993334444,2025/04/09 3:45:50,Tapat Ng Holy Trinity Academy,"Paterno Avenue, Brgy. Calicanto, Batangas City, Batangas"
Conflict,Family or neighbor disputes,"My neighbors are having a fight, sobrang ingay.",Diego Santos,9275556666,2025/04/09 5:01:25,Malapit Sa Batangas State University Main Campus,"Rizal Avenue Extension, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Road rage,Two drivers are yelling at each other after a minor collision.,Elvira Flores,9367778888,2025/04/09 6:17:00,Along National Road Near Citimart,"Roxas Street, Brgy. Pila-Kanluran, Batangas City, Batangas"
Conflict,Road rage,May dalawang driver na nagmumurahan dahil sa banggaan.,Fernando Cruz,9489990000,2025/04/09 7:32:35,Beside the Fire Station,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Road rage,Two cars almost nagkabanggaan and the drivers are arguing.,Gemma Lopez,9501112222,2025/04/09 8:48:10,In Front of the Batangas Provincial Capitol,"Capitol Site, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Conflict,Land or property conflict,There is a dispute regarding property boundaries.,Henry Magno,9613334444,2025/04/09 10:03:45,Near the Old Train Station,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Land or property conflict,May problema sa lupa ang magkakapitbahay.,Isabel Reyes,9725556666,2025/04/09 11:19:20,Likod Ng Public Market,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Land or property conflict,May issue about the land ownership between two parties.,Jorge Santos,9837778888,2025/04/09 12:34:55,Going to Balagtas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Conflict,Armed conflict,We heard gunshots in the vicinity.,Katrina Flores,9049990000,2025/04/09 13:50:30,Near the Police Station,"Aquino Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Conflict,Armed conflict,May putukan kaming narinig sa lugar na ito.,Lorenzo Cruz,9151112222,2025/04/09 15:06:05,Malapit Sa General Malvar Hospital,"P. Dandan Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Armed conflict,Parang may shooting incident dito.,Monica Lopez,9263334444,2025/04/09 16:21:40,Around the Batangas Port,"Ramos Avenue, Brgy. Calicanto, Batangas City, Batangas"
Crime,Property crimes,"My car window was smashed, and some items were stolen from inside. It looks like a case of car break-in.",Nelson Santiago,9194445555,2025/04/09 17:37:15,Near Bpi Batangas Poblacion,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Property crimes,May hindi kilalang tao na pumasok sa bahay namin at may nawawalang gamit. Mukhang pagnanakaw ang nangyari.,Olivia De Guzman,9976667777,2025/04/09 18:52:50,Tapat Ng Batangas City National High School,"Diokno Street, Brgy. Calicanto, Batangas City, Batangas"
Crime,Property crimes,Someone must have picked my pocket kasi nawawala na yung wallet ko. I think it happened sa may crowded area.,Paolo Rivera,9288889999,2025/04/09 20:08:25,Malapit Sa St. Jude Parish Church,"Kalaw Road, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Crime,Violent crimes,I witnessed a man physically assaulting another individual on the street. The situation appeared very dangerous.,Rachel Fernandez,9379990000,2025/04/09 21:24:00,In Front of the Batangas Medical Center,"Lorenzo Drive, Brgy. Pila-Kanluran, Batangas City, Batangas"
Crime,Violent crimes,May nakita akong dalawang tao na nag-aaway at mukhang nananakitan na sila ng isa't isa. Kailangan siguro ng tulong.,Samuel Mercado,9491112222,2025/04/09 22:39:35,Beside the Landbank Batangas City,"Jacinto Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Violent crimes,I saw a person getting punched in the face by another guy. It looked like a bad fight.,Teresa Aguilar,9503334444,2025/04/09 23:55:10,Banda Ng Robinson's Place Batangas,"Ilagan Avenue, Brgy. 7, Batangas City, Batangas"
Crime,Cybercrime,"I received a suspicious email asking for my personal information, it seems like a phishing attempt. I did not click any links.",Ulysses Castillo,9615556666,2025/04/10 1:10:45,Near the Batangas City Hall,"Rizal Avenue, Brgy. Poblacion, Batangas City, Batangas"
Crime,Cybercrime,"Parang na-scam ako online, may nagpanggap na kakilala ko at humihingi ng pera. Hindi ko sigurado kung ano ang gagawin.",Vicky Navarro,9727778888,2025/04/10 2:26:20,Likod Ng San Sebastian Cathedral,"P. Zamora Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Cybercrime,Someone accessed my social media account without my permission and changed my password. I think my account got hacked.,William Alcantara,9839990000,2025/04/10 3:41:55,Going to Sm City Batangas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Crime,Kidnapping,I witnessed a person being forcibly taken into a vehicle against their will. The car sped off quickly.,Xenia Reyes,9052223333,2025/04/10 4:57:30,In Front of the Post Office,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Kidnapping,Parang may babae na sapilitang isinakay sa isang kotse at umiiyak. Mukhang may nangyaring masama.,Yancy Flores,9164445555,2025/04/10 6:13:05,Malapit Sa Lianas Supermarket,"Agoncillo Road, Brgy. 1, Batangas City, Batangas"
Crime,Kidnapping,"I saw a person being dragged into a van, they were struggling. I think someone was taken against their will.",Zachary Dela Paz,9276667777,2025/04/10 7:28:40,Around the National Museum of the Philippines - Batangas,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal drug activity,There is a group of individuals openly exchanging small packets of what appears to be drugs. This is happening in a public area.,Amelia Silva,9388889999,2025/04/10 8:44:15,Near Golden Gate Subdivision,"Alabang-Batangas City National Road, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Crime,Illegal drug activity,Mukhang may nagbebenta ng droga dito sa isang tagong lugar sa palengke. May mga kahina-hinalang tao na nagpapalitan ng maliliit na balot.,Benito Cruz,9401112222,2025/04/10 9:59:50,Sa May Palengke,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal drug activity,I think I saw some illegal drugs being passed between two people inside a parked car. It looked very suspicious.,Carmela Reyes,9513334444,2025/04/10 11:15:25,Going Towards the General Malvar Hospital,"P. Dandan Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal gambling,There is a group of people actively engaged in what appears to be an illegal card game. They are betting large sums of money.,Dominador Torres,9625556666,2025/04/10 12:31:00,Near the Old Train Station,"Rizal Avenue Extension, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal gambling,May nakita akong mga tao na naglalaro ng ilegal na sugal sa isang bakanteng lote sa likod ng palengke. Mukhang may pera na pinagpapatalunan.,Esperanza Panganiban,9737778888,2025/04/10 13:46:35,Likod Ng Public Market,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal gambling,I saw people doing illegal betting on cockfighting in a makeshift area. There were a lot of people involved.,Felix Manalo,9849990000,2025/04/10 15:02:10,Going to Balagtas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Crime,Illegal possession of firearms,"Someone is openly carrying a firearm in a public place, and it doesn't look like they are authorized. This is causing concern.",Gloria Villanueva,9062223333,2025/04/10 16:17:45,In Front of the Post Office,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal possession of firearms,May nakita akong isang lalaki na may dalang baril na nakasukbit sa baywang niya. Hindi ko alam kung may lisensya siya.,Harrison Bautista,9174445555,2025/04/10 17:33:20,Malapit Sa Lianas Supermarket,"Sison Street, Brgy. 1, Batangas City, Batangas"
Crime,Illegal possession of firearms,"I saw a person with a gun tucked in their pants, mukhang illegal kasi they were trying to hide it. It seemed suspicious.",Irene Salvador,9286667777,2025/04/10 18:48:55,Around the National Museum of the Philippines - Batangas,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Electrical hazard,Power lines are sparking and there is a burning smell.,Ricardo Dela Cruz,9175551234,2025/04/08 8:15:30,Near Batangas Capitol,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Electrical hazard,May nakitang kuryenteng nagspark at parang may nasusunog.,Maria Santos,9987654321,2025/04/08 9:40:15,Tapat Ng St. Bridget College,"Lacson Boulevard, Brgy. Calicanto, Batangas City, Batangas"
Hazard,Electrical hazard,I saw some wires nag-spark and parang may usok.,Jose Reyes,9221112222,2025/04/08 10:22:48,Malapit Sa Batangas Medical Center,"Ejercito Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Hazard,Road hazard,There is a large pothole in the middle of the road.,Ana Gonzales,9334445555,2025/04/08 11:35:02,In Front of Lyceum of the Philippines University - Batangas,"Castillo Avenue, Brgy. Pila-Kanluran, Batangas City, Batangas"
Hazard,Road hazard,May malaking butas sa gitna ng kalsada.,Benjamin Flores,9456667777,2025/04/08 12:50:59,Beside the Batangas City Hall,"Yulo Road, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Road hazard,"There's a big crack sa road, very dangerous.",Carla Lopez,9567778888,2025/04/08 14:05:33,Banda Robinson's Place Batangas,"Laurel Avenue, Brgy. 7, Batangas City, Batangas"
Hazard,Animal hazard,A stray dog is blocking the street and appears aggressive.,Daniel Cruz,9678889999,2025/04/08 15:20:10,Near the Public Market,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Animal hazard,May asong gala na nakaharang sa daan at mukhang galit.,Elena Perez,9789990000,2025/04/08 16:33:45,Likod Ng San Sebastian Cathedral,"P. Zamora Street, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Animal hazard,"There's a cow sa gitna ng road, traffic is building up.",Fernando Reyes,9890001111,2025/04/08 17:48:22,Going to Sm City Batangas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Hazard,Falling objects,Some debris is falling from a nearby construction site.,Grace Santos,9012223333,2025/04/08 19:02:57,In Front of the Post Office,"Rizal Avenue, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Falling objects,May mga nahuhulog na bagay mula sa isang ginagawang building.,Henry Flores,9123334444,2025/04/08 20:17:31,Malapit Sa Lianas Supermarket,"Rizal Street, Brgy. 1, Batangas City, Batangas"
Hazard,Falling objects,"I saw something falling from the building, could be dangerous.",Isabel Lopez,9234445555,2025/04/08 21:32:05,Around the National Museum of the Philippines - Batangas,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Pest infestations,There is a large swarm of insects near our house.,Jayson Cruz,9345556666,2025/04/08 22:46:40,Near Golden Gate Subdivision,"Alabang-Batangas City National Road, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Hazard,Pest infestations,Maraming insekto sa paligid ng bahay namin.,Katrina Perez,9456667777,2025/04/08 23:59:15,Sa May Palengke,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Pest infestations,Ang daming pests dito sa area namin.,Lorenzo Reyes,9567778888,2025/04/09 1:13:50,Going Towards the General Malvar Hospital,"P. Dandan Street, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Medical emergency,A person collapsed and is unresponsive. They might be having a heart attack.,Teodoro Panganiban,9112223333,2025/04/08 14:00:00,Near Batangas Capitol,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Medical emergency,Biglang nahirapan huminga at nawalan ng malay. Kailangan niya ng agarang tulong medikal.,Victoria Aguilar,9964445555,2025/04/08 15:15:35,Tapat Ng St. Bridget College,"Luna Road, Brgy. Calicanto, Batangas City, Batangas"
Medical Help,Medical emergency,"Omg, someone just fell down and parang they're not breathing na. It's like a serious emergency.",Walter Mercado,9236667777,2025/04/08 16:31:10,Malapit Sa Batangas Medical Center,"Magsaysay Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Medical Help,Injury,Someone has a deep cut on their arm and is bleeding heavily. They need first aid.,Xian Castillo,9348889999,2025/04/08 17:46:45,In Front of Lyceum of the Philippines University - Batangas,"Aguinaldo Highway, Brgy. Pila-Kanluran, Batangas City, Batangas"
Medical Help,Injury,Natapilok siya at mukhang nabalian ng paa. Hindi siya makalakad.,Yvette Navarro,9450001111,2025/04/08 19:02:20,Beside the Batangas City Hall,"Mabini Boulevard, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Injury,"Like, someone just tripped and now they're holding their ankle. I think it's super sprained, you know?",Zoren Dela Cruz,9562223333,2025/04/08 20:17:55,Banda Robinson's Place Batangas,"Bonifacio Street, Brgy. 7, Batangas City, Batangas"
Medical Help,Medical assistance,A senior citizen seems disoriented and needs help finding their way home. They look confused.,Araceli Santiago,9674445555,2025/04/08 21:33:30,Near the Public Market,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Medical assistance,May matandang lalaki na parang naliligaw at nangangailangan ng tulong. Hindi niya alam kung saan siya pupunta.,Benjamin De Guzman,9786667777,2025/04/08 22:49:05,Likod Ng San Sebastian Cathedral,"P. Zamora Street, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Medical assistance,There's this lola here and feeling ko she needs some help. Parang she's looking for someone.,Carla Rivera,9898889999,2025/04/09 0:04:40,Going to Sm City Batangas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Natural Disaster,Flood,May baha po na umaabot na sa tuhod ang lalim malapit sa bahay namin. Hindi na po madadaanan ang ilang kalsada dito.,Maria Santos,9171234567,2025/04/08 8:15:00,Near the Alangilan Elementary School,"Purok 3, Brgy. Alangilan, Batangas City, Batangas"
Natural Disaster,Flood,The water level on our street is rising very quickly due to the continuous heavy rain. It's almost knee-deep already and still increasing.,Sofia Lopez,9472233445,2025/04/08 7:00:00,Landmark: Old Mango Tree Near the Creek,"Purok 5, Brgy. Balagtas, Batangas City, Batangas"
Natural Disaster,Flood,May baha na po dito sa area namin near the church. The water is up to our ankles and it's getting deeper pa.,Ben Garcia,9153344556,2025/04/08 8:45:00,Beside the Alangilan Church,"Alangilan Proper, Brgy. Alangilan, Batangas City, Batangas"
Natural Disaster,Storm surge,The sea water has overflowed onto the road near the fish port. The strong waves are making it dangerous for pedestrians and small vehicles.,Nina Salvador,9171122334,2025/04/08 5:20:00,Near the Fish Port,"Del Pilar Road, Brgy. Bayanan, Batangas City, Batangas"
Natural Disaster,Storm surge,Tumaas po bigla ang tubig dagat at pumasok na sa mga kalsada. Binabaha na rin ang ilang mga bahay malapit sa baybayin.,Irma Villanueva,9267890123,2025/04/08 7:10:00,Tabi Ng Lumang Basketball Court,"Quezon Avenue, Brgy. Pagkilatan, Batangas City, Batangas"
Natural Disaster,Storm surge,Ang taas na po ng alon sa shore near the beach resort. People are packing up their things na and leaving the area quickly.,Rachel Lim,9274455667,2025/04/08 9:45:00,Near the Beach Resort,"Zamora Street, Brgy. Mabacong, Batangas City, Batangas"
Natural Disaster,Landslide,A significant portion of the hill behind the old warehouse gave way and completely blocked half of the road. It is currently very dangerous to pass through.,Kevin Rodriguez,9183344556,2025/04/08 6:50:00,Behind the Old Warehouse,"Silang Drive, Brgy. San Isidro, Batangas City, Batangas"
Natural Disaster,Landslide,"Bumigay po ang lupa sa gilid ng kalsada sa likod ng barangay center. May mga bato at putik na nakakalat, delikado po sa mga motorista at pedestrian.",Lourdes Manalo,9151122334,2025/04/08 10:05:00,Likod Ng Barangay Center,"Malvar Road, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Natural Disaster,Landslide,"May landslide po sa gilid ng daan near the bypass road. Mud and big rocks are blocking the road, so cars can't pass through.",Joshua De Vera,9243345566,2025/04/08 10:45:00,Near the Slope Along the Bypass Road,"Paterno Avenue, Brgy. Pallocan West, Batangas City, Batangas"
Natural Disaster,Earthquake,The ground shook violently for what felt like a long few seconds near the public market. Many people rushed out of their homes and establishments in panic.,Ana Delacruz,9170001111,2025/04/08 8:15:00,Near the Public Market,"P. Burgos Street, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Natural Disaster,Earthquake,Lumindol po nang malakas dito sa amin malapit sa elementary school. Naglabasan ang mga tao sa kanilang bahay dahil sa takot.,Jenny Rosales,9190003333,2025/04/08 10:17:00,Beside the Elementary School,"Roxas Street, Brgy. Pallocan West, Batangas City, Batangas"
Natural Disaster,Earthquake,"Lumindol po kanina, it was quite strong near the waiting shed. Everything was shaking for a bit and some small items fell.",Carla Mendoza,9210005555,2025/04/08 12:19:00,Malapit Sa Waiting Shed,"Aquino Drive, Brgy. Bayanan, Batangas City, Batangas"
Natural Disaster,Volcanic activities,There is a significant amount of smoke and steam coming from the direction of the volcano. The sky is starting to turn a noticeable shade of gray.,Ana Delacruz,9170001111,2025/04/08 8:15:00,Near the Public Market,"P. Burgos Street, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Natural Disaster,Volcanic activities,May naririnig kaming malakas na ugong mula sa bulkan at may abo na pong bumabagsak dito sa lugar namin.,Leo Francisco,9200004444,2025/04/08 11:18:00,Tabi Ng Palengke,"Ramos Avenue, Brgy. Malitam, Batangas City, Batangas"
Natural Disaster,Volcanic activities,"May ashfall po dito malapit sa waiting shed. The air smells kind of weird, like sulfur yata.",Carla Mendoza,9210005555,2025/04/08 12:19:00,Malapit Sa Waiting Shed,"Diokno Street, Brgy. Bayanan, Batangas City, Batangas"
Natural Disaster,Tsunami,The water along the shore near the public market has suddenly and drastically receded. People in the area are starting to evacuate immediately.,Ana Delacruz,9170001111,2025/04/08 8:15:00,Near the Public Market,"P. Burgos Street, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Natural Disaster,Tsunami,Bumaba bigla ang tubig sa dagat malapit sa elementary school. Mabilis na pong nagsilikas ang mga residente sa mga mas mataas na lugar.,Jenny Rosales,9190003333,2025/04/08 10:17:00,Beside the Elementary School,"Kalaw Road, Brgy. Pallocan West, Batangas City, Batangas"
Natural Disaster,Tsunami,Nawala po bigla yung tubig sa tabing-dagat near the waiting shed. People got really scared and are moving to higher ground na.,Carla Mendoza,9210005555,2025/04/08 12:19:00,Malapit Sa Waiting Shed,"Lorenzo Drive, Brgy. Bayanan, Batangas City, Batangas"
Other,Missing person,My child has been missing for several hours. We last saw them playing outside.,Danilo Cruz,9123456789,2025/04/09 1:20:00,Near Bpi Batangas Poblacion,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Missing person,"Hindi ko po makita ang kapatid ko, kanina pa siya nawawala. Nag-aalala na po kami.",Emily Santos,9956789012,2025/04/09 2:35:35,Tapat Ng Batangas City National High School,"Jacinto Street, Brgy. Calicanto, Batangas City, Batangas"
